"classe","ordem","familia","genero","nome_cientifico","nome_cientifico_anterior","nome_comum","categoria","criterio"
"Mammalia","Cetartiodactyla","Cervidae","Mazama","Mazama americana","Mazama americana","Guassu-pará, Guatapará, Suaçupita, Veado-capoeiro, Veado-mateiro, Veado-pardo, Veado-retovado, Veado-vermelho","Dados Insuficientes",NA
"Mammalia","Perissodactyla","Tapiridae","Tapirus","Tapirus terrestris","Tapirus terrestris","Anta","Vulnerável","A2cd"
"Aves","Galliformes","Cracidae","Aburria","Aburria cujubi","Aburria cujubi","cujubi","Vulnerável","A2d"
"Aves","Galliformes","Cracidae","Ortalis","Ortalis guttata","Ortalis guttata","aracuã-pintado","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus zabele","Crypturellus noctivagus zabele","zabelé","Vulnerável","A2cd"
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus brevirostris","Crypturellus brevirostris","inhambu-carijó","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Pauxi","Pauxi tomentosa","Pauxi tomentosa","mutum-do-norte","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia napensis","Psophia napensis","uru-do-campo","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia leucoptera","Psophia leucoptera","jacamim-de-costas-brancas","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia viridis","Psophia viridis","jacamim-de-costas-verdes","Vulnerável","A2c"
"Mammalia","Carnivora","Mustelidae","Mustela","Mustela africana","Mustela africana","Doninha, doninha amazônica","Menos Preocupante",NA
"Mammalia","Carnivora","Canidae","Speothos","Speothos venaticus","Speothos venaticus","cachorro-do-mato-vinagre, cachorro-vinagre","Vulnerável","C1"
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus duidae","Crypturellus duidae","inhambu-de-pé-cinza","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Crax","Crax fasciolata","Crax fasciolata","mutum, mutum-de-penacho, mutum-pinima, mutum-poranga","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Ortalis","Ortalis araucuan","Ortalis araucuan","aracuã-de-barriga-branca","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Pauxi","Pauxi tuberosa","Pauxi tuberosa","Mutum-cavalo","Menos Preocupante",NA
"Mammalia","Cingulata","Dasypodidae","Priodontes","Priodontes maximus","Priodontes maximus","Tatu-açú, Tatu-canastra","Vulnerável","A2cd"
"Mammalia","Pilosa","Bradypodidae","Bradypus","Bradypus tridactylus","Bradypus tridactylus","Preguiça-de-bentinho, Preguiça-de-garganta-amarela, Preguiça-de-três-dedos","Menos Preocupante",NA
"Mammalia","Pilosa","Megalonychidae","Choloepus","Choloepus hoffmanni","Choloepus hoffmanni","preguiça-real","Quase Ameaçada",NA
"Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus septemcinctus","Dasypus septemcinctus","Muleta, Mulita, Tatu-bolinha, Tatu-china, Tatu-í, Tatu-mirim, Tatu-mula","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Caluromys","Caluromys philander","Caluromys philander","Cuíca, Cuíca-lanosa, Mucura-xixica","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis marsupialis","Didelphis marsupialis","Gambá-de-orelha-preta, Mucura","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Hyladelphys","Hyladelphys kalinowskii","Hyladelphys kalinowskii","Catita, Guaiquica, Peru gracile mouse opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa waterhousei","Marmosa waterhousei","Cuíca, Marmosa","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosops","Marmosops noctivagus","Marmosops noctivagus","Cuíca, Marmosa, White-bellied slender opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosops","Marmosops pinheiroi","Marmosops pinheiroi","Cuíca, Marmosa, Pinheiro’s slender opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Metachirus","Metachirus nudicaudatus","Metachirus nudicaudatus","Cuíca-de-quatro-olhos, Cuíca-marrom, Cuíca-rabo-de-rato, Jupati","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou insidiosus","Coendou insidiosus","Bahian Hairy Dwarf Porcupine, Ouriço-cacheiro","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou prehensilis","Coendou prehensilis",NA,"Quase Ameaçada",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou spinosus","Coendou spinosus","Ouriço-cacheiro, Paraguay Hairy Dwarf Porcupine, Porcupine, Spiny Tree Porcupine","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis americana","Monodelphis americana","Catita, Catita de listra, Catita-de-listras","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis arlindoi","Monodelphis arlindoi","Catita","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis brevicaudata","Monodelphis brevicaudata","Catita, Northern Red-sided Opossum, Opossum-musaraigne À Pattes Roughes, Red-legged Short-tailed Opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis emiliae","Monodelphis emiliae","Catita","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Philander","Philander quica","Philander frenatus","Carachupa, Cucha gris de cuatro ojos, Cuíca-de-quatro-olhos, Guaiki, Mucura-de-quatro-olhos, Pericote, Quica opossum, Rabipelao, Rajá, Raposa huevera, Southeastern Four-eyed Opossum, Zorro","Menos Preocupante",NA
"Mammalia","Rodentia","Dasyproctidae","Dasyprocta","Dasyprocta iacki","Dasyprocta iacki","Cutia, Cutia-de-garupa-laranja, Red-rumped Agouti","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Trinomys","Trinomys setosus","Trinomys setosus","Elegant- spined Atlantic Spiny rat, Hairy Atlantic Spiny-rat, Hairy Spiny Rat, Rato-do-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Sciuridae","Hadrosciurus","Hadrosciurus igniventris","Hadrosciurus igniventris","Esquilo, Quatipuru, Southern Amazon Red Squirrel","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Isothrix","Isothrix sinnamariensis","Isothrix sinnamariensis","Rato coró, Rato do mato","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Kannabateomys","Kannabateomys amblyonyx","Kannabateomys amblyonyx","Atlantic Bamboo Rat, Rato-da-taquara","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Mesomys","Mesomys stimulax","Mesomys stimulax","Pará Spiny Tree-rat, Rato-do-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys cuvieri","Proechimys cuvieri","Cuvier’s Spiny-rat, Rato-de-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys goeldii","Proechimys goeldii",NA,"Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys roberti","Proechimys roberti",NA,"Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys blainvilii","Phyllomys blainvilii","Golden Atlantic Tree-rat, Rato-da-árvore","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys kerri","Phyllomys kerri","Kerr’s Atlantic Tree-rat, Rato-da-árvore","Quase Ameaçada",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys mantiqueirensis","Phyllomys mantiqueirensis","Mantiqueira Atlantic Tree-rat, Rato-da-árvore","Dados Insuficientes",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys pattoni","Phyllomys pattoni","Rato-da-árvore, Rusty-sided Atlantic Tree-rat","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys sulinus","Phyllomys sulinus","Rato-da-árvore, Southern Atlantic Tree-rat","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Aburria","Aburria jacutinga","Aburria jacutinga","jacutinga","Em Perigo","C2a(i)"
